Date,Open,High,Low,Close
10-08-2012,156.90,157.820007,156.649994,157.179993
13-08-2012,157.05,157.449997,155.899994,155.990005
14-08-2012,155.06,155.580002,154.830002,155.130005
16-08-2012,155.85,157.089996,155.5,156.559998
17-08-2012,157.06,157.070007,156.220001,156.720001
20-08-2012,156.52,157.399994,156.470001,157.259995
21-08-2012,158.81,159.199997,158.690002,158.830002
22-08-2012,159.19,160.630005,158.509995,160.539993
23-08-2012,161.41,162.449997,161.229996,161.889999
24-08-2012,161.87,162.350006,161.330002,161.970001
27-08-2012,161.77,162.289993,161.339996,161.360001
28-08-2012,161.63,162.190002,161.300003,161.639999
29-08-2012,161.60,161.679993,160.179993,160.589996
30-08-2012,161.26,161.309998,160.009995,160.520004
31-08-2012,161.14,164.220001,159.559998,164.220001
04-09-2012,164.11,164.770004,163.660004,164.479996
05-09-2012,164.12,164.389999,163.809998,164.309998
06-09-2012,165.16,165.779999,164.800003,164.889999
07-09-2012,167.77,169,167.369995,168.440002
10-09-2012,167.84,168.139999,167.229996,167.289993
11-09-2012,168.22,168.529999,167.789993,167.899994
12-09-2012,168.84,168.869995,167.25,167.919998
13-09-2012,167.87,171.910004,166.300003,171.309998
14-09-2012,171.89,172.229996,171.309998,171.800003
17-09-2012,171.77,171.960007,170.059998,170.399994
18-09-2012,170.81,171.949997,170.669998,171.720001
19-09-2012,171.88,172.029999,171.190002,171.740005
20-09-2012,171.03,171.690002,170.229996,171.470001
21-09-2012,172.93,173.179993,171.539993,171.960007
24-09-2012,170.63,171.389999,170.570007,171.050003
25-09-2012,171.76,172.110001,170.5,170.770004
26-09-2012,169.46,170.050003,168.339996,169.809998
27-09-2012,171.02,172.600006,170.759995,172.339996
28-09-2012,172.03,172.479996,171.339996,171.889999
01-10-2012,172.83,173.619995,171.770004,172.289993
03-10-2012,172.51,172.610001,171.889999,172.410004
04-10-2012,173.20,174.070007,172.919998,173.610001
05-10-2012,172.87,173.369995,172.009995,172.619995
09-10-2012,171.86,172.169998,170.559998,170.990005
10-10-2012,170.54,171.339996,170.300003,170.839996
11-10-2012,171.30,171.949997,171.130005,171.320007
12-10-2012,171.15,171.410004,169.809998,170.059998
15-10-2012,169.01,169.100006,167.529999,168.350006
16-10-2012,168.87,169.449997,168.669998,169.419998
17-10-2012,169.21,169.949997,168.919998,169.539993
18-10-2012,168.80,169.309998,168.589996,168.789993
19-10-2012,168.42,168.449997,166.229996,166.970001
22-10-2012,167.08,167.630005,167.029999,167.580002
23-10-2012,166.04,166.059998,165.119995,165.429993
24-10-2012,165.78,165.830002,164.600006,164.860001
25-10-2012,166.29,166.529999,165.770004,166.020004
26-10-2012,166.23,166.600006,165.770004,165.929993
31-10-2012,166.47,167.279999,166.380005,166.830002
01-11-2012,167.02,167.039993,166.039993,166.070007
02-11-2012,164.45,164.470001,162.300003,162.600006
05-11-2012,163.12,163.419998,162.809998,163.229996
06-11-2012,163.91,166.770004,163.610001,166.300003
07-11-2012,166.87,167.130005,165.039993,166.490005
08-11-2012,166.14,168.160004,166.119995,167.990005
09-11-2012,168.21,168.539993,167.550003,167.820007
13-11-2012,166.66,167.940002,166.630005,167.100006
14-11-2012,167.46,168.039993,166.779999,167.139999
15-11-2012,167.00,167.050003,165.179993,166.089996
16-11-2012,165.74,166.360001,165.470001,165.880005
19-11-2012,167.75,168.160004,167.380005,167.869995
20-11-2012,167.75,168.020004,166.839996,167.389999
21-11-2012,167.19,167.820007,166.970001,167.559998
23-11-2012,167.97,170.009995,167.800003,169.610001
26-11-2012,169.56,169.729996,169.25,169.429993
27-11-2012,169.14,169.399994,168.619995,168.710007
28-11-2012,165.43,166.839996,165.380005,166.550003
29-11-2012,167.14,167.5,166.850006,167.179993
30-11-2012,166.94,167.220001,165.529999,166.050003
03-12-2012,166.11,166.919998,166.039993,166.130005
04-12-2012,164.06,164.830002,163.869995,164.419998
05-12-2012,164.22,164.5,163.199997,164.119995
06-12-2012,163.72,165,163.529999,164.5
07-12-2012,164.88,165.220001,164.600006,165.160004
10-12-2012,166.11,166.160004,165.710007,165.800003
11-12-2012,165.45,165.660004,165.119995,165.649994
12-12-2012,166.20,166.940002,165.360001,165.770004
13-12-2012,163.87,164.899994,163.779999,164.369995
14-12-2012,164.17,164.479996,164.020004,164.130005
17-12-2012,164.16,164.619995,164.130005,164.440002
18-12-2012,164.35,164.429993,160.899994,162.080002
19-12-2012,161.31,162.220001,161.110001,161.690002
20-12-2012,159.87,160.119995,158.389999,159.729996
21-12-2012,159.82,160.759995,159.779999,160.330002
